Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300
1970 139 141 157 107 164 156 153 153 135 153 135 136 145 149 125 171 153 134 110
1971 80 86 80 47 98 88 101 101 81 101 81 91 90 97 94 94 110 101 77
1972 132 147 127 62 161 140 136 144 125 144 125 111 134 159 138 175 188 105 108
1973 135 150 117 64 160 128 140 135 124 135 124 110 134 160 118 166 147 144 102
1974 75 110 101 69 117 101 107 93 101 93 101 94 130 154 116 137 135 117 108
1975 130 131 128 71 148 139 148 140 123 140 123 109 121 141 136 164 126 122 114
1976 146 149 132 84 168 135 136 137 125 137 125 120 133 142 145 233 230 142 108
1977 127 145 160 73 154 151 177 154 128 154 128 131 130 173 158 192 185 116 133
1978 95 119 131 75 117 121 127 114 97 114 97 105 116 117 102 112 103 79 63
1979 108 132 115 60 135 105 111 105 86 105 86 95 94 123 113 156 171 119 106
1980 74 93 114 67 96 89 96 97 92 97 92 91 116 96 114 81 89 127 82
1981 104 123 128 62 131 108 118 123 101 123 101 101 108 117 111 148 153 80 83
1982 85 100 100 62 104 95 101 99 90 99 90 103 89 100 107 150 156 169 135
1983 145 163 151 77 189 171 190 166 154 166 154 176 186 191 145 134 156 110 88
1984 121 131 125 84 146 120 132 132 110 132 110 124 115 133 158 159 185 81 96
1985 90 110 112 60 131 111 121 108 88 108 88 77 97 107 96 86 101 91 72
1986 102 125 127 83 126 120 134 118 102 118 102 105 109 120 104 138 117 111 92
1987 102 123 115 70 132 125 131 128 111 128 111 117 115 150 125 161 170 171 125
1988 130 137 124 74 152 127 133 146 132 146 132 129 132 161 178 195 215 74 74
1989 145 149 147 93 158 119 134 136 120 136 120 130 120 139 131 154 186 107 70
1990 100 124 133 73 140 125 135 122 113 122 113 117 114 125 112 187 194 139 133
1991 98 117 123 64 122 114 119 111 102 111 102 112 109 97 118 148 154 87 85
1992 123 124 106 81 146 127 126 107 101 107 101 105 107 125 117 158 159 148 115
1993 119 130 138 94 155 139 143 158 124 158 124 116 132 130 145 163 165 162 133
1994 51 64 67 35 70 70 81 83 75 83 75 80 74 110 88 98 97 86 98
1995 128 159 177 83 169 159 174 157 129 157 129 125 148 188 194 197 181 118 95
1996 95 106 119 85 111 104 120 110 99 110 99 100 89 98 84 155 126 171 119
1997 109 115 119 78 131 121 124 111 108 111 108 119 119 126 118 146 130 150 129
1998 94 114 122 73 116 118 133 117 89 117 89 94 104 110 109 190 141 135 113
1999 115 127 126 64 139 132 144 131 115 131 115 113 139 135 119 157 168 146 140
2000 100 105 109 64 119 116 118 110 101 110 101 97 93 102 116 142 137 126 94
2001 97 104 97 60 122 106 104 100 90 100 90 92 94 110 111 132 139 90 95
2002 69 76 96 56 89 79 99 102 74 102 74 86 74 86 71 85 87 105 91
2003 87 116 86 42 115 98 110 95 85 95 85 100 108 126 107 96 88 103 87
2004 103 106 92 49 117 98 99 91 90 91 90 91 83 151 189 194 217 125 111
2005 58 71 72 46 96 80 85 74 65 74 65 69 73 75 70 86 114 107 104
2006 169 175 152 91 208 186 183 167 151 167 151 133 137 158 174 229 227 143 128
2007 153 149 132 83 160 145 145 135 119 135 119 117 125 167 152 192 174 123 90
2008 136 142 148 82 183 156 173 160 151 160 151 156 156 190 157 191 199 130 104
2009 115 133 150 69 143 119 130 128 118 128 118 117 132 152 137 169 190 161 109
2010 82 108 96 47 111 109 129 105 97 105 97 84 97 86 65 109 92 134 115
2011 97 115 129 84 127 127 138 128 113 128 113 118 122 113 108 101 126 82 74
2012 83 118 110 76 137 134 141 121 115 121 115 105 113 98 94 150 127 121 101
2013 118 128 122 79 156 138 136 136 130 136 130 118 143 184 161 194 189 105 84
